Hyper iter 0
Iter 90: train: 0.585798359543
Hyper iter 19
Iter 0: train: 4.49617545573
Iter 10: train: 1.69436076253
Iter 20: train: 0.670727369419
Iter 30: train: 0.490140977435
Iter 40: train: 0.521843503912
Iter 50: train: 0.596416761902
Iter 60: train: 0.614595247631
Iter 70: train: 0.596901732072
Iter 80: train: 0.580779842207
Iter 90: train: 0.572561381951
Iter 0: train: 4.50983439153
Iter 10: train: 1.83566036049
Iter 20: train: 0.777397064298
Iter 30: train: 0.56765029367
Iter 40: train: 0.577721303567
Iter 50: train: 0.641580195689
Iter 60: train: 0.658266650915
Iter 70: train: 0.641765662827
Iter 80: train: 0.626034217462
Iter 90: train: 0.617581931155
learned_sharing : train: 0.611255908284, test: 1.12886566958
Iter 0: train: 4.4506068058
Iter 10: train: 1.81589322524
Iter 20: train: 0.898606179609
Iter 30: train: 0.730327916024
Iter 40: train: 0.770496792082
Iter 50: train: 0.847101873308
Iter 60: train: 0.876118964802
Iter 70: train: 0.874817567316
Iter 80: train: 0.872472001299
Iter 90: train: 0.875440585257
full_sharing : train: 0.879826513343, test: 1.23666593102
Iter 0: train: 5.02985572257
Iter 10: train: 0.904372608804
Iter 20: train: 0.290137033299
Iter 30: train: 0.240574387563
Iter 40: train: 0.345280630512
Iter 50: train: 0.501103589482
Iter 60: train: 0.56920082756
Iter 70: train: 0.563229278957
Iter 80: train: 0.549795721216
Iter 90: train: 0.545424286909
no_sharing : train: 0.544278199312, test: 1.33446901649
